Run Number  |  Time to Converge  |  Agents Commited to Chosen / Other / Uncommitted Target
0	0	0	0	150
0	300	30	7	113
0	600	25	3	122
0	900	18	9	123
0	1200	41	20	89
0	1500	26	20	104
0	1800	31	15	104
0	2100	5	18	127
0	2400	13	11	126
0	2700	32	10	108
0	3000	15	5	130
0	3300	12	12	126
0	3600	19	21	110
0	3900	11	5	134
0	4200	6	13	131
0	4500	6	7	137
0	4800	12	10	128
0	5100	24	13	113
0	5400	28	26	96
0	5700	20	31	99
0	6000	13	21	116
0	6300	20	19	111
0	6600	34	18	98
0	6900	15	15	120
0	7200	17	30	103
0	7500	32	14	104
0	7800	38	21	91
0	8100	35	6	109
0	8400	27	14	109
0	8700	28	8	114
0	9000	16	4	130
Run Number  |  Time to Converge  |  Agents Commited to Chosen / Other / Uncommitted Target
0	0	0	0	150
0	300	7	4	139
0	600	8	8	134
0	900	17	9	124
0	1200	4	4	142
0	1500	7	7	136
0	1800	13	5	132
0	2100	14	3	133
0	2400	10	6	134
Run Number  |  Time to Converge  |  Agents Commited to Chosen / Other / Uncommitted Target
0	0	0	0	150
Run Number  |  Time to Converge  |  Agents Commited to Chosen / Other / Uncommitted Target
0	0	0	0	150
0	300	14	7	129
0	600	16	38	96
0	900	20	40	90
0	1200	18	47	85
0	1500	18	29	103
0	1800	15	59	76
0	2100	16	28	106
0	2400	23	42	85
0	2700	19	41	90
0	3000	22	51	77
0	3300	23	36	91
